[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.05]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.0]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.06]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.06]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.06]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.05]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.05]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.05]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.05]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.02]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.04]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.01]
[Sample: 5, Simulations: 100, Limit: 365, Positive Results: 0.03]
